Place,Name,Year of birth,Country code,Country,Time,Event
1.0,"DRESSEL, Caeleb",1996,USA,United States,21.07,"Men, 50m Freestyle, Final, Open"
2.0,"MANAUDOU, Florent",1990,FRA,France,21.55,"Men, 50m Freestyle, Final, Open"
3.0,"FRATUS, Bruno",1989,BRA,Brazil,21.57,"Men, 50m Freestyle, Final, Open"
4.0,"ANDREW, Michael C",1999,USA,United States,21.6,"Men, 50m Freestyle, Final, Open"
5.0,"PROUD, Benjamin",1994,GBR,Great Britain,21.72,"Men, 50m Freestyle, Final, Open"
5.0,"GKOLOMEEV, Kristian",1993,GRE,Greece,21.72,"Men, 50m Freestyle, Final, Open"
7.0,"ZAZZERI, Lorenzo",1994,ITA,Italy,21.78,"Men, 50m Freestyle, Final, Open"
8.0,"BOER de, Thom",1991,NED,Netherlands,21.79,"Men, 50m Freestyle, Final, Open"
1.0,"DRESSEL, Caeleb",1996,USA,United States,21.42,"Men, 50m Freestyle, Semifinal, Open"
2.0,"MANAUDOU, Florent",1990,FRA,France,21.53,"Men, 50m Freestyle, Semifinal, Open"
3.0,"FRATUS, Bruno",1989,BRA,Brazil,21.6,"Men, 50m Freestyle, Semifinal, Open"
3.0,"GKOLOMEEV, Kristian",1993,GRE,Greece,21.6,"Men, 50m Freestyle, Semifinal, Open"
5.0,"PROUD, Benjamin",1994,GBR,Great Britain,21.67,"Men, 50m Freestyle, Semifinal, Open"
5.0,"ANDREW, Michael C",1999,USA,United States,21.67,"Men, 50m Freestyle, Semifinal, Open"
7.0,"ZAZZERI, Lorenzo",1994,ITA,Italy,21.75,"Men, 50m Freestyle, Semifinal, Open"
8.0,"BOER de, Thom",1991,NED,Netherlands,21.78,"Men, 50m Freestyle, Semifinal, Open"
9.0,"HAYDEN, Brent",1983,CAN,Canada,21.82,"Men, 50m Freestyle, Semifinal, Open"
9.0,"KOLESNIKOV, Kliment",2000,RUS,Russia,21.82,"Men, 50m Freestyle, Semifinal, Open"
11.0,"BUKHOV, Vladyslav",2002,UKR,Ukraine,21.83,"Men, 50m Freestyle, Semifinal, Open"
12.0,"GROUSSET, Maxime",1999,FRA,France,21.87,"Men, 50m Freestyle, Semifinal, Open"
12.0,"PUTS, Jesse",1994,NED,Netherlands,21.87,"Men, 50m Freestyle, Semifinal, Open"
14.0,"JURASZEK, Pawel",1994,POL,Poland,21.88,"Men, 50m Freestyle, Semifinal, Open"
15.0,"MESTRE, Alberto",1999,VEN,Venezuela,22.22,"Men, 50m Freestyle, Semifinal, Open"
16.0,"MOROZOV, Vladimir V",1992,RUS,Russia,22.25,"Men, 50m Freestyle, Semifinal, Open"
1.0,"DRESSEL, Caeleb",1996,USA,United States,21.32,"Men, 50m Freestyle, Prelim, Open"
2.0,"MANAUDOU, Florent",1990,FRA,France,21.65,"Men, 50m Freestyle, Prelim, Open"
3.0,"GKOLOMEEV, Kristian",1993,GRE,Greece,21.66,"Men, 50m Freestyle, Prelim, Open"
4.0,"FRATUS, Bruno",1989,BRA,Brazil,21.67,"Men, 50m Freestyle, Prelim, Open"
5.0,"BUKHOV, Vladyslav",2002,UKR,Ukraine,21.73,"Men, 50m Freestyle, Prelim, Open"
6.0,"BOER de, Thom",1991,NED,Netherlands,21.75,"Men, 50m Freestyle, Prelim, Open"
7.0,"PUTS, Jesse",1994,NED,Netherlands,21.84,"Men, 50m Freestyle, Prelim, Open"
8.0,"HAYDEN, Brent",1983,CAN,Canada,21.85,"Men, 50m Freestyle, Prelim, Open"
9.0,"ZAZZERI, Lorenzo",1994,ITA,Italy,21.86,"Men, 50m Freestyle, Prelim, Open"
10.0,"KOLESNIKOV, Kliment",2000,RUS,Russia,21.88,"Men, 50m Freestyle, Prelim, Open"
11.0,"ANDREW, Michael C",1999,USA,United States,21.89,"Men, 50m Freestyle, Prelim, Open"
12.0,"MOROZOV, Vladimir V",1992,RUS,Russia,21.92,"Men, 50m Freestyle, Prelim, Open"
13.0,"PROUD, Benjamin",1994,GBR,Great Britain,21.93,"Men, 50m Freestyle, Prelim, Open"
14.0,"MESTRE, Alberto",1999,VEN,Venezuela,21.96,"Men, 50m Freestyle, Prelim, Open"
15.0,"GROUSSET, Maxime",1999,FRA,France,21.97,"Men, 50m Freestyle, Prelim, Open"
15.0,"JURASZEK, Pawel",1994,POL,Poland,21.97,"Men, 50m Freestyle, Prelim, Open"
17.0,"CHERUTI, Meiron Amir",1997,ISR,Israel,22.01,"Men, 50m Freestyle, Prelim, Open"
18.0,"LIENDO, Joshua",2002,CAN,Canada,22.03,"Men, 50m Freestyle, Prelim, Open"
19.0,"MILJENIC, Nikola",1998,CRO,Croatia,22.14,"Men, 50m Freestyle, Prelim, Open"
19.0,"YU, Hexin",1996,CHN,China,22.14,"Men, 50m Freestyle, Prelim, Open"
19.0,"CONDORELLI, Santo",1995,ITA,Italy,22.14,"Men, 50m Freestyle, Prelim, Open"
22.0,"GIGLER, Heiko",1996,AUT,Austria,22.17,"Men, 50m Freestyle, Prelim, Open"
23.0,"SEELIGER, Bjorn",2000,SWE,Sweden,22.19,"Men, 50m Freestyle, Prelim, Open"
24.0,"KHALAFALLA, Ali",1996,EGY,Egypt,22.22,"Men, 50m Freestyle, Prelim, Open"
24.0,"TANDY, Bradley E",1991,RSA,South Africa,22.22,"Men, 50m Freestyle, Prelim, Open"
26.0,"LOBANOVSZKIJ, Maxim",1996,HUN,Hungary,22.25,"Men, 50m Freestyle, Prelim, Open"
26.0,"LIUKKONEN, Ari-Pekka",1989,FIN,Finland,22.25,"Men, 50m Freestyle, Prelim, Open"
28.0,"BARNA, Andrej",1998,SRB,Serbia,22.29,"Men, 50m Freestyle, Prelim, Open"
29.0,"MCEVOY, Cameron",1994,AUS,Australia,22.31,"Men, 50m Freestyle, Prelim, Open"
30.0,"CASTANO, Gabriel",1997,MEX,Mexico,22.32,"Men, 50m Freestyle, Prelim, Open"
31.0,"CZERNIAK, Konrad",1989,POL,Poland,22.33,"Men, 50m Freestyle, Prelim, Open"
32.0,"HO, Ian",1997,HKG,Hong Kong,22.45,"Men, 50m Freestyle, Prelim, Open"
33.0,"FRASER, Brett",1989,CAY,Cayman Islands,22.46,"Men, 50m Freestyle, Prelim, Open"
33.0,"CARTER, Dylan",1996,TTO,Trinidad &Tobago,22.46,"Men, 50m Freestyle, Prelim, Open"
35.0,"MARTINEZ SCARPE, Enzo Marian",1994,URU,Uruguay,22.52,"Men, 50m Freestyle, Prelim, Open"
36.0,"TJON A JOE, Renzo",1995,SUR,Suriname,22.56,"Men, 50m Freestyle, Prelim, Open"
37.0,"SAHNOUNE, Oussama",1992,ALG,Algeria,22.61,"Men, 50m Freestyle, Prelim, Open"
38.0,"GRASSI, Santiago",1996,ARG,Argentina,22.67,"Men, 50m Freestyle, Prelim, Open"
39.0,"HWANG, Sun Woo",2003,KOR,Korea,22.74,"Men, 50m Freestyle, Prelim, Open"
40.0,"POPOVICI, David",2004,ROU,Romania,22.77,"Men, 50m Freestyle, Prelim, Open"
41.0,"GEBBIE, Luke",1996,PHI,Philippines,22.84,"Men, 50m Freestyle, Prelim, Open"
42.0,"MURATOVIC, Emir",1996,BIH,Bosnia-Herzegovina,22.91,"Men, 50m Freestyle, Prelim, Open"
43.0,"BARSEGHYAN, Artur",2002,ARM,Armenia,23.14,"Men, 50m Freestyle, Prelim, Open"
44.0,"MASO, Alaa",2000,ROT,Refugee Olympic Team,23.3,"Men, 50m Freestyle, Prelim, Open"
45.0,"ANTONIOU, Nikolas",2004,CYP,Cyprus,23.38,"Men, 50m Freestyle, Prelim, Open"
46.0,"GHIRMAI, Efrem",1996,ERI,Eritrea,23.94,"Men, 50m Freestyle, Prelim, Open"
47.0,"GOMES, Filipe Miguel",1997,MAW,Malawi,24.0,"Men, 50m Freestyle, Prelim, Open"
48.0,"MYAGMAR, Delgerkhuu",1996,MGL,Mongolia,24.63,"Men, 50m Freestyle, Prelim, Open"
49.0,"CADOGAN, Shane",2001,VIN,St. Vincent & Grenadines,24.71,"Men, 50m Freestyle, Prelim, Open"
50.0,"SEYDOU LANCINA, Alassane",1993,NIG,Niger,24.75,"Men, 50m Freestyle, Prelim, Open"
51.0,"ISLAM, MD Ariful",1999,BAN,Bangladesh,24.81,"Men, 50m Freestyle, Prelim, Open"
52.0,"HEM, Puch",1999,CAM,Cambodia,24.91,"Men, 50m Freestyle, Prelim, Open"
53.0,"DANSOU, Marc",1983,BEN,Benin,24.99,"Men, 50m Freestyle, Prelim, Open"
54.0,"OUEDRAOGO, Adama",1987,BUR,Burkina Faso,25.22,"Men, 50m Freestyle, Prelim, Open"
55.0,"MANIRAGUHA, Eloi",1995,RWA,Rwanda,25.38,"Men, 50m Freestyle, Prelim, Open"
56.0,"MOOSA, Shaquille D",2002,ZAM,Zambia,25.54,"Men, 50m Freestyle, Prelim, Open"
57.0,"OTOGBE, Mawupemon",2003,TOG,Togo,25.68,"Men, 50m Freestyle, Prelim, Open"
58.0,"TROY NESTOR, Pina",1999,CPV,Cape Verde,25.97,"Men, 50m Freestyle, Prelim, Open"
59.0,"INTHAVONG, Santisouk",1999,LAO,Laos PDR,26.04,"Men, 50m Freestyle, Prelim, Open"
60.0,"ISHANOV, Olimjon",1998,TJK,Tajikistan,26.12,"Men, 50m Freestyle, Prelim, Open"
61.0,"BAH, Mamadou Tahirou",1999,GUI,Guinea,26.52,"Men, 50m Freestyle, Prelim, Open"
62.0,"MUKTAR, Abdelmalik Tofik",1996,ETH,Ethiopia,26.65,"Men, 50m Freestyle, Prelim, Open"
63.0,"DLAMINI, Simanga",1997,SWZ,Swaziland,26.94,"Men, 50m Freestyle, Prelim, Open"
64.0,"NDJOUME EPOH, Yves-Charly",1986,CMR,Cameroon,27.22,"Men, 50m Freestyle, Prelim, Open"
65.0,"GABER IBRAHIM, Houssein",1999,DJI,Djibouti,27.41,"Men, 50m Freestyle, Prelim, Open"
66.0,"BUARO, Ebrima Sorry",2000,GAM,Gambia,27.44,"Men, 50m Freestyle, Prelim, Open"
67.0,"DINGILIUS WALLACE, Shawn",1994,PLW,Palau,27.46,"Men, 50m Freestyle, Prelim, Open"
68.0,"GIRARD DE LANGLADE MPALI, Adam",2002,GAB,Gabon,27.66,"Men, 50m Freestyle, Prelim, Open"
69.0,"ANWARI, Fahim",1999,AFG,Afghanistan,27.67,"Men, 50m Freestyle, Prelim, Open"
70.0,"KINONO, Phillip",1997,MHL,Marshall Islands,27.86,"Men, 50m Freestyle, Prelim, Open"
71.0,"WYSE, Joshua Jonathan Julius",2001,SLE,Sierra Leone,27.9,"Men, 50m Freestyle, Prelim, Open"
72.0,"DA SILVA VIEGAS, Jose",2003,TLS,Timor-Leste,28.59,"Men, 50m Freestyle, Prelim, Open"
73.0,"MIKO EYANGA, Diosdado",1990,GEQ,Equatorial Guinea,31.03,"Men, 50m Freestyle, Prelim, Open"
1.0,"DRESSEL, Caeleb",1996,USA,United States,47.02,"Men, 100m Freestyle, Final, Open"
2.0,"CHALMERS, Kyle",1998,AUS,Australia,47.08,"Men, 100m Freestyle, Final, Open"
3.0,"KOLESNIKOV, Kliment",2000,RUS,Russia,47.44,"Men, 100m Freestyle, Final, Open"
4.0,"GROUSSET, Maxime",1999,FRA,France,47.72,"Men, 100m Freestyle, Final, Open"
5.0,"HWANG, Sun Woo",2003,KOR,Korea,47.82,"Men, 100m Freestyle, Final, Open"
6.0,"MIRESSI, Alessandro",1998,ITA,Italy,47.86,"Men, 100m Freestyle, Final, Open"
7.0,"POPOVICI, David",2004,ROU,Romania,48.04,"Men, 100m Freestyle, Final, Open"
8.0,"NEMETH, Nandor",1999,HUN,Hungary,48.1,"Men, 100m Freestyle, Final, Open"
1.0,"KOLESNIKOV, Kliment",2000,RUS,Russia,47.11,"Men, 100m Freestyle, Semifinal, Open"
2.0,"DRESSEL, Caeleb",1996,USA,United States,47.23,"Men, 100m Freestyle, Semifinal, Open"
3.0,"MIRESSI, Alessandro",1998,ITA,Italy,47.52,"Men, 100m Freestyle, Semifinal, Open"
4.0,"HWANG, Sun Woo",2003,KOR,Korea,47.56,"Men, 100m Freestyle, Semifinal, Open"
5.0,"POPOVICI, David",2004,ROU,Romania,47.72,"Men, 100m Freestyle, Semifinal, Open"
6.0,"CHALMERS, Kyle",1998,AUS,Australia,47.8,"Men, 100m Freestyle, Semifinal, Open"
7.0,"NEMETH, Nandor",1999,HUN,Hungary,47.81,"Men, 100m Freestyle, Semifinal, Open"
8.0,"GROUSSET, Maxime",1999,FRA,France,47.82,"Men, 100m Freestyle, Semifinal, Open"
9.0,"BARNA, Andrej",1998,SRB,Serbia,47.94,"Men, 100m Freestyle, Semifinal, Open"
10.0,"MINAKOV, Andrei",2002,RUS,Russia,48.03,"Men, 100m Freestyle, Semifinal, Open"
11.0,"APPLE, Zach",1997,USA,United States,48.04,"Men, 100m Freestyle, Semifinal, Open"
12.0,"CECCON, Thomas",2001,ITA,Italy,48.05,"Men, 100m Freestyle, Semifinal, Open"
13.0,"WHITTLE, Jacob",2004,GBR,Great Britain,48.11,"Men, 100m Freestyle, Semifinal, Open"
14.0,"LIENDO, Joshua",2002,CAN,Canada,48.19,"Men, 100m Freestyle, Semifinal, Open"
15.0,"KISIL, Yuri",1995,CAN,Canada,48.31,"Men, 100m Freestyle, Semifinal, Open"
16.0,"MITYUKOV, Roman",2000,SUI,Switzerland,48.53,"Men, 100m Freestyle, Semifinal, Open"
1.0,"CECCON, Thomas",2001,ITA,Italy,47.71,"Men, 100m Freestyle, Prelim, Open"
2.0,"DRESSEL, Caeleb",1996,USA,United States,47.73,"Men, 100m Freestyle, Prelim, Open"
3.0,"CHALMERS, Kyle",1998,AUS,Australia,47.77,"Men, 100m Freestyle, Prelim, Open"
4.0,"MIRESSI, Alessandro",1998,ITA,Italy,47.83,"Men, 100m Freestyle, Prelim, Open"
5.0,"KOLESNIKOV, Kliment",2000,RUS,Russia,47.89,"Men, 100m Freestyle, Prelim, Open"
6.0,"HWANG, Sun Woo",2003,KOR,Korea,47.97,"Men, 100m Freestyle, Prelim, Open"
